defendants,original values,cases
COUNTRYWIDE FINANCIAL CORPORATION,COUNTRYWIDE FINANCIAL CORPORATION ET AL,1.0
COUNTY OF LOS ANGELES,COUNTY OF LOS ANGELES,1.0
"COVERALL NORTH AMERICA, INC.","COVERALL NORTH AMERICA, INC. ET AL",1.0
"COVERALL NORTH AMERICA, INC.","COVERALL NORTH AMERICA, INC.,",1.0
Cox Enterprises,Cox Enterprises,1.0
CREDIT ADVISORS,CREDIT ADVISORS ET AL,1.0
"CREDIT SOLUTIONS OF AMERICA, INC.","CREDIT SOLUTIONS OF AMERICA, INC.",1.0
CREDITANSWERS LLC,CREDITANSWERS LLC,1.0
CREDITINFORM,CREDITINFORM ET AL,1.0
"CROSSCHECK, INC.","CROSSCHECK, INC.",1.0
CRUSADER RENT TO OWN OF SC LLC,CRUSADER RENT TO OWN OF SC LLC,1.0
"CVI.CHE 105, INC.","CVI.CHE 105, INC. ET AL",1.0
CVS CAREMARK CORPORATION,CVS CAREMARK CORPORATION ET AL,1.0
"D N.W. HOUSTON, INC.","D N.W. HOUSTON, INC. ET AL",1.0
D.R. HORTON INCORPORATED - DIETZ-CRANE HOMES,D.R. HORTON INCORPORATED - DIETZ-CRANE HOMES ET AL,2.0
"D.R. HORTON, INC.","D.R. HORTON, INC. ET AL",1.0
DALLAS HOME LOANS INC,DALLAS HOME LOANS INC ET AL,1.0
DCI BIOLOGICALS LITTLE ROCK LLC,DCI BIOLOGICALS LITTLE ROCK LLC ET AL,1.0
"DEBT RELIEF AMERICA, L.P.,","DEBT RELIEF AMERICA, L.P.,",2.0
"DEBT RELIEF GROUP, LLC","DEBT RELIEF GROUP, LLC ET AL",1.0
"DEJA VU, INC.","DEJA VU, INC. ET AL",1.0
DEL WEBB COMMUNITIES INCORPORATED,DEL WEBB COMMUNITIES INCORPORATED ET AL,1.0
DELBERT SERVICES CORPORATION,DELBERT SERVICES CORPORATION,2.0
DELBERT SERVICES CORPORATION,DELBERT SERVICES CORPORATION ET AL,1.0
DELL INC,DELL INC,2.0
DELL INC,DELL INC ET AL,2.0
DELL INC,DELL INC.,2.0
DELL INC,"DELL, INC.",5.0
"DELLRIDGE HEALTH AND REHABILITATION CENTER, LLC","DELLRIDGE HEALTH AND REHABILITATION CENTER, LLC ET AL",1.0
DFS SERVICES LLC,DFS SERVICES LLC ET AL,1.0
DIAMOND WIRELESS LLC,DIAMOND WIRELESS LLC,1.0
"DILLARDS, INC.","DILLARDS, INC.",1.0
"DILLARDS, INC.","DILLARD’S, INC.",1.0
"DIRECT BUY ASSOCIATES, INC.","DIRECT BUY ASSOCIATES, INC.",1.0
"DIRECT FINANCIAL SOLUTIONS, LLC","DIRECT FINANCIAL SOLUTIONS, LLC ET AL",1.0
DIRECT GENERAL FINANCE COMPANY,DIRECT GENERAL FINANCE COMPANY ET AL,1.0
"DIRECTREVENUE, LLC","DIRECTREVENUE, LLC ET AL",1.0
"DIRECTV,",Directv,2.0
DIRECTV INC,DIRECTV INC,1.0
DIRECTV INC,DIRECTV INC ET AL,2.0
DIRECTV LLC,DIRECTV LLC ET AL,1.0
"DIRECTV,","DIRECTV, ET AL",1.0
DIRECTV INC,"DIRECTV, INC",1.0
DIRECTV INC,"DIRECTV, INC.",9.0
DIRECTV INC,"DIRECTV, INC. ET AL",3.0
DIRECTV LLC,"DIRECTV, LLC",1.0
DISCOVER BANK,DISCOVER BANK ET AL,2.0
DISCOVER CARD,DISCOVER CARD,1.0
DISCOVER FINANCIAL SERVICES INC,DISCOVER FINANCIAL SERVICES,1.0
DISCOVER FINANCIAL SERVICES INC,DISCOVER FINANCIAL SERVICES ET AL,1.0
DISCOVER FINANCIAL SERVICES INC,DISCOVER FINANCIAL SERVICES INC ET AL,2.0
DISCOVER FINANCIAL SERVICES INC,"DISCOVER FINANCIAL SERVICES, INC ET AL",1.0
DISCOVER FINANCIAL SERVICES INC,"DISCOVER FINANCIAL SERVICES, INC. ET AL",2.0
"DIVERSIFIED CONSULTANTS, INC.","DIVERSIFIED CONSULTANTS, INC.",2.0
DMSI STAFFING LLC,DMSI STAFFING LLC ET AL,1.0
DMSI STAFFING LLC,"DMSI STAFFING, LLC ET AL",1.0
"DND, INC","DND, INC",1.0
DOE RUN RESOURCES CORPORATION,DOE RUN RESOURCES CORPORATION ET AL,1.0
"DOLL HOUSE II, INC.","DOLL HOUSE II, INC. ET AL",1.0
DOLLAR GENERAL CORPORATION,DOLLAR GENERAL CORPORATION ET AL,1.0
DONGBU TOUR & TRAVEL INC.,DONGBU TOUR & TRAVEL INC. ET AL,1.0
"DONNINI ENTERPRISES, INC.","DONNINI ENTERPRISES, INC. ET AL",1.0
"DORAL DENTAL IPA OF NEW YORK, LLC","DORAL DENTAL IPA OF NEW YORK, LLC ET AL",1.0
DRILL CUTTINGS DISPOSAL COMPANY LLC,DRILL CUTTINGS DISPOSAL COMPANY LLC,1.0
"DRIVE FINANCIAL SERVICES, LP","DRIVE FINANCIAL SERVICES, LP",1.0
DT CREDIT CORPORATION,DT CREDIT CORPORATION ET AL,1.0
DUKE’S EAST 19TH RESTAURANT LTD.,DUKE’S EAST 19TH RESTAURANT LTD. ET AL,1.0
DURHAM D&M LLC,DURHAM D&M LLC,1.0
DWWTR,DWWTR ET AL,1.0
DYNAMEX INC,DYNAMEX INC ET AL,1.0
DYNAMEX INC,"DYNAMEX, INC. ET AL",1.0
E TRADE BANK,E TRADE BANK,1.0
E* TRADE FINANCIAL CORPORATION,E* TRADE FINANCIAL CORPORATION ET AL,1.0
"E.A. RENFROE & COMPANY, INC.","E.A. RENFROE & COMPANY, INC.",1.0
E.J. STERLING INC.,E.J. STERLING INC.,1.0
"E.M. WINGS, LLC","E.M. WINGS, LLC ET AL",1.0
"EARTHLINK, INC.","EARTHLINK, INC.",1.0
EAST ST LOUIS BOARD EDUCATION,EAST ST LOUIS BOARD EDUCATION ET AL,1.0
EASTERBROOKE CELLULAR CORPORATION,EASTERBROOKE CELLULAR CORPORATION ET AL,1.0
"EASTWOOD INSURANCE SERVICES, INC.","EASTWOOD INSURANCE SERVICES, INC. ET AL",1.0
ECHOSPHERE LLC,ECHOSPHERE LLC ET AL,1.0
ECHOSPHERE LLC,ECHOSPHERE LLC. ET AL,1.0
ECHOSPHERE LLC,"ECHOSPHERE, L.L.C. ET AL",1.0
ECHOSPHERE LLC,"ECHOSPHERE, LLC",1.0
EDUCATION FINANCE PARTNERS,EDUCATION FINANCE PARTNERS,1.0
"EDWARD D. JONES & CO., LP","EDWARD D. JONES & CO., LP ET AL",1.0
ELAVON INC,ELAVON INC ET AL,1.0
"ELC, LLC","ELC, LLC",1.0
ELECTRONIC ARTS INC.,ELECTRONIC ARTS INC.,1.0
"EMPIRE TODAY, LLC","EMPIRE TODAY, LLC",1.0
"ENCANA OIL & GAS (USA), INC.","ENCANA OIL & GAS (USA), INC.",1.0
"ENCORE RECEIVABLE MANAGEMENT, INC.","ENCORE RECEIVABLE MANAGEMENT, INC. ET AL",1.0
Enhanced Recovery Company,Enhanced Recovery Company,1.0
EPIC HEALTH SERVICES INC.,EPIC HEALTH SERVICES INC.,1.0
EPIC HEALTH SERVICES INC.,"EPIC HEALTH SERVICES, INC.",1.0
EQUITY RESIDENTIAL,EQUITY RESIDENTIAL ET AL,1.0
"EQUITY RESIDENTIAL MANAGEMENT, L.L.C.","EQUITY RESIDENTIAL MANAGEMENT, L.L.C.",1.0
"ERJ DINING, LLC","ERJ DINING, LLC ET AL",1.0
ERNST & YOUNG LLP,ERNST & YOUNG LLP,2.0
ERNST & YOUNG LLP,ERNST & YOUNG LLP ET AL,1.0
ERNST & YOUNG LLP,"ERNST & YOUNG, LLP",1.0
ERNST & YOUNG LLP,"ERNST & YOUNG, LLP ET AL",1.0
Evanston Northwestern Healthcare,Evanston Northwestern Healthcare,1.0
EVENT OPERATIONS GROUP INC,EVENT OPERATIONS GROUP INC,1.0
"EVERGLADES COLLEGE, INC.","EVERGLADES COLLEGE, INC.",1.0
EVERGREEN SHIPPING AGENCY AMERICA CORPORATION,EVERGREEN SHIPPING AGENCY AMERICA CORPORATION ET AL,1.0
"EVERLAST MECHANICAL SERVICES, INC.","EVERLAST MECHANICAL SERVICES, INC. ET AL",1.0
EXPERIAN INFORMATION SOLUTIONS INC,EXPERIAN INFORMATION SOLUTIONS INC,1.0
EXPERIAN INFORMATION SOLUTIONS INC,EXPERIAN INFORMATION SOLUTIONS INC ET AL,1.0
"EXPRESS SCRIPTS, INC.","EXPRESS SCRIPTS, INC. ET AL",2.0
FAIRFIELD GREENWICH LIMITED,FAIRFIELD GREENWICH LIMITED ET AL,1.0
"FAMILY DOLLAR, INC.","FAMILY DOLLAR, INC.",1.0
FANFARE MEDIA WORKS,FANFARE MEDIA WORKS,1.0
FARMERS INSURANCE COMPANY OF WASHINGTON,FARMERS INSURANCE COMPANY OF WASHINGTON,1.0
FASTTRAIN II CORP.,FASTTRAIN II CORP. ET AL,1.0
"FCNH, INC","FCNH, INC ET AL",1.0
FEDERAL NATIONAL MORTGAGE ASSOCIATION,FEDERAL NATIONAL MORTGAGE ASSOCIATION,1.0
FEDEX KINKOS OFFICE AND PRINT SERVICES INC,FEDEX KINKOS OFFICE AND PRINT SERVICES INC ET AL,1.0
"FERRELLGAS PARTNERS, L.P.","FERRELLGAS PARTNERS, L.P. ET AL",1.0
"FERRELLGAS, INC.","FERRELLGAS, INC. ET AL",1.0
FESTIVA RESORTS LLC,FESTIVA RESORTS LLC ET AL,1.0
FESTIVA RESORTS LLC,"FESTIVA RESORTS, LLC, ET AL",1.0
"FIDELITY NATIONAL FINANCIAL, INC.","FIDELITY NATIONAL FINANCIAL, INC. ET AL",1.0
"FIELD MEDIA SPECIALISTS, INC.","FIELD MEDIA SPECIALISTS, INC.",1.0
FINOVA GROUP INC,FINOVA GROUP INC ET AL,1.0
FIREFLY RENT A CAR LLC,FIREFLY RENT A CAR LLC ET AL,1.0
FIRST AMERICAN TITLE INSURANCE COMPANY,FIRST AMERICAN TITLE INSURANCE COMPANY,1.0
FIRST BANK OF DELAWARE,FIRST BANK OF DELAWARE,1.0
"FIRST FINANCIAL SECURITY, INC.,","FIRST FINANCIAL SECURITY, INC., ET AL",1.0
FIRST FRANKLIN FINANCIAL,FIRST FRANKLIN FINANCIAL ET AL,1.0
FIRST INTERNATIONAL BANK & TRUST,FIRST INTERNATIONAL BANK & TRUST ET AL,2.0
FIRST INVESTORS CORPORATION,FIRST INVESTORS CORPORATION ET AL,1.0
FIRST LEG CORPORATION,FIRST LEG CORPORATION ET AL,1.0
FIRST PREMIER BANK,FIRST PREMIER BANK,1.0
FIRST PREMIER BANK OF SOUTH DAKOTA,FIRST PREMIER BANK OF SOUTH DAKOTA ET AL,1.0
FIRST RESOLUTION INVESTMENT CORPORATION,FIRST RESOLUTION INVESTMENT CORPORATION ET AL,1.0
"FIRST TOWER LOAN, LLC","FIRST TOWER LOAN, LLC ET AL",1.0
"FIRST UNIVERSAL LENDING, LLC","FIRST UNIVERSAL LENDING, LLC ET AL",2.0
"FISHER COMMUNICATIONS, INC.","FISHER COMMUNICATIONS, INC. ET AL",1.0
"FITNESS INTERNATIONAL, LLC","FITNESS INTERNATIONAL, LLC",1.0
FORD MOTOR CREDIT COMPANY,FORD MOTOR CREDIT COMPANY,1.0
FORD MOTOR CREDIT COMPANY,"FORD MOTOR CREDIT COMPANY, LLC",1.0
FORD MOTOR CREDIT COMPANY,"FORD MOTOR CREDIT, LLC",1.0
"FORDHAM FINANCIAL MANAGEMENT, INC.","FORDHAM FINANCIAL MANAGEMENT, INC. ET AL",1.0
FOREVER 21 RETAIL INC,FOREVER 21 RETAIL INC ET AL,1.0
"FOREX CAPITAL MARKETS, LLC","FOREX CAPITAL MARKETS, LLC",1.0
"FORTUNE HI-TECH MARKETING, INC.","FORTUNE HI-TECH MARKETING, INC. ET AL",2.0
FPMI SOLUTIONS INC,FPMI SOLUTIONS INC ET AL,1.0
FREEDOM DEBT RELIEF LLC,FREEDOM DEBT RELIEF LLC ET AL,1.0
"FORDHAM FINANCIAL MANAGEMENT, INC.",FREEDOM FINANCIAL NETWORK LLC ET AL,1.0
FREESCORE LLC,FREESCORE LLC ET AL,1.0
"FRESH START ADVISORS, LLC","FRESH START ADVISORS, LLC ET AL",1.0
"FRONTIER COMMUNICATIONS OF AMERICA, INC.","FRONTIER COMMUNICATIONS OF AMERICA, INC. ET AL",1.0
"FRY’S ELECTRONICS, INC.",FRYS ELECTRONICS INC ET AL,1.0
"FRY’S ELECTRONICS, INC.","FRY’S ELECTRONICS, INC.",1.0
"FT. LAUDERDALE NISSAN, INC.","FT. LAUDERDALE NISSAN, INC. ET AL",1.0
"FULTON, FRIEDMAN & GULLACE, LLP","FULTON, FRIEDMAN & GULLACE, LLP ET AL",1.0
"GALARDI SOUTH ENTERPRISES, INC.","GALARDI SOUTH ENTERPRISES, INC. ET AL",2.0
GAMESTOP CORP.,GAMESTOP CORP. ET AL,1.0
"GAMESTOP, INC.","GAMESTOP, INC. ET AL",1.0
GARDEN FRESH RESTAURANT CORP.,GARDEN FRESH RESTAURANT CORP.,1.0
GARDEN FRESH RESTAURANT CORP.,GARDEN FRESH RESTAURANT CORP. ET AL.,1.0
GARY YASUDA,GARY YASUDA ET AL,1.0
Gateway,Gateway,1.0
GATEWAY INC,GATEWAY INC,1.0
GATEWAY INC,GATEWAY INC ET AL,1.0
"GATOR INVESTORS I, INC.","GATOR INVESTORS I, INC. ET AL",1.0
"GAUCHO RODIZIO, INC.","GAUCHO RODIZIO, INC. ET AL",1.0
GE CAPITAL RETAIL BANK,GE CAPITAL RETAIL BANK ET AL,1.0
GENERAL ELECTRIC CO,GENERAL ELECTRIC CO ET AL,1.0
GENERAL ELECTRIC CO,GENERAL ELECTRIC COMPANY,1.0
"GENERAL STEEL DOMESTIC SALES, LLC","GENERAL STEEL DOMESTIC SALES, LLC ET AL",2.0
GEORGE S. MAY INTERNATIONAL COMPANY,GEORGE S. MAY INTERNATIONAL COMPANY ET AL,1.0
"GINO MORENA ENTERPRISES, LLC","GINO MORENA ENTERPRISES, LLC ET AL",1.0
"GLC FINANCIAL,LLC","GLC FINANCIAL,LLC ET AL",1.0
GLOBAL CALLCENTER SOLUTIONS INC.,GLOBAL CALLCENTER SOLUTIONS INC.,1.0
GLOBAL CLIENT SOLUTIONS LLC,GLOBAL CLIENT SOLUTIONS LLC ET AL,1.0
GLOBAL CLIENT SOLUTIONS LLC,"GLOBAL CLIENT SOLUTIONS, LLC ET AL",2.0
GLOBAL CREDIT & COLLECTION CORPORATION,GLOBAL CREDIT & COLLECTION CORPORATION,1.0
"GLOBAL EQUITY LENDING, INC.","GLOBAL EQUITY LENDING, INC.",1.0
GLOTEL INC,GLOTEL INC ET AL,1.0
GOGO LLC,GOGO LLC ET AL,1.0
GOLDEN RESTAURANTS INC,GOLDEN RESTAURANTS INC ET AL,1.0
"GOLDEN TOUCH TRANSPORTATION OF NY, INC.","GOLDEN TOUCH TRANSPORTATION OF NY, INC. ET AL",1.0
GOLDLINE INTERNATIONAL INC,GOLDLINE INTERNATIONAL INC,1.0
GOOD GUYS INC,GOOD GUYS INC ET AL,1.0
Google,Google,1.0
"GOOGLE, INC.","GOOGLE, INC.",1.0
GRAYSTONE TOWER BANK,GRAYSTONE TOWER BANK,1.0
GREEN TREE SERVICING LLC,GREEN TREE SERVICING LLC,1.0
GREEN TREE SERVICING LLC,"GREEN TREE SERVICING, LLC",1.0
"GREENE & COOPER, LLP","GREENE & COOPER, LLP ET AL",2.0
"GREENWAY FORD, INC.","GREENWAY FORD, INC. ET AL",1.0
"GROSSINGER CHEVROLET, INC.","GROSSINGER CHEVROLET, INC. ET AL",1.0
Groupon,Groupon,1.0
GUTHY-RENKER LLC,GUTHY-RENKER LLC,1.0
H AND R BLOCK INC,H AND R BLOCK INC ET AL,2.0
H AND R BLOCK MORTGAGE CORPORATION,H AND R BLOCK MORTGAGE CORPORATION ET AL,1.0
H&R Block,H&R Block,1.0
H&R BLOCK INC,H&R BLOCK INC ET AL,2.0
H&R BLOCK INC,"H&R BLOCK, INC.",1.0
H&R BLOCK INC,"H&R BLOCK, INC. ET AL",11.0
"HAIRDOCTORS SILVER PALMS, INC.","HAIRDOCTORS SILVER PALMS, INC. ET AL",1.0
"HALLMARK INVESTMENTS, INC.","HALLMARK INVESTMENTS, INC. ET AL",1.0
HANJIN SHIPPING CO. LTD.,HANJIN SHIPPING CO. LTD. ET AL,1.0
HARRY FREEZE,HARRY FREEZE ET AL,1.0
HARTFORD FIRE INSURANCE COMPANY,HARTFORD FIRE INSURANCE COMPANY,1.0
HEALTHSOURCE GLOBAL STAFFING,HEALTHSOURCE GLOBAL STAFFING,1.0
"HERITAGE OPERATING, L.P.","HERITAGE OPERATING, L.P. ET AL",1.0
"HILTON WORLDWIDE, INC.","HILTON WORLDWIDE, INC. ET AL",1.0
"HIP NETWORK SERVICES IPA, INC.","HIP NETWORK SERVICES IPA, INC.",1.0
HOBBY LOBBY STORES INC,HOBBY LOBBY STORES INC,1.0
HOLLAND AMERICA LINE INC,HOLLAND AMERICA LINE INC,1.0
"HOLLYWOOD IMPORTS LIMITED,INC.","HOLLYWOOD IMPORTS LIMITED,INC. ET AL",1.0
HOME DEPOT,HOME DEPOT ET AL,1.0
"HOME DEPOT USA, INC.","HOME DEPOT USA, INC.",1.0
HOME LOAN CENTER INC,HOME LOAN CENTER INC ET AL,2.0
"HOME SAVINGS OF AMERICA, INC.","HOME SAVINGS OF AMERICA, INC. ET AL",1.0
"HOME TEAM PEST DEFENSE, INC.","HOME TEAM PEST DEFENSE, INC.",1.0
"HOME TEAM PEST DEFENSE, INC.","HOMETEAM PEST DEFENSE, INC. ET AL",1.0
"HONDA MOTOR CO., LTD.","HONDA MOTOR CO., LTD. ET AL",1.0
"HOUGHTON MIFFLIN HARCOURT PUBLISHERS, INC.","HOUGHTON MIFFLIN HARCOURT PUBLISHERS, INC. ET AL",1.0
HOUSEHOLD FINANCE CORPORATION OF CALIFORNIA,HOUSEHOLD FINANCE CORPORATION OF CALIFORNIA ET AL,1.0
HOUSER,HOUSER ET AL,1.0
"HRB TAX GROUP, INC.","HRB TAX GROUP, INC. ***DO NOT FILE IN THIS CASE, MDL CASE FILED; ALL PLEADINGS TO BE FILED IN CASE NO. 4:13-MD-02474-FJG.**",1.0
"HRB TAX GROUP, INC.","HRB TAX GROUP, INC. ET AL",1.0
HSBC BANK NEVADA,HSBC BANK NEVADA,1.0
HSBC BANK NEVADA,"HSBC BANK NEVADA, N.A.",1.0
HSBC BANK USA N.A,HSBC BANK USA N.A,1.0
HSBC BANK USA N.A,HSBC BANK USA NATIOAL ASSOCIATION ET AL,1.0
"HSBC CARD SERVICES, INC.","HSBC CARD SERVICES, INC.",1.0
HSBC MORTGAGE CORPORATION (USA),HSBC MORTGAGE CORPORATION (USA) ET AL,1.0
HSBC MORTGAGE SERVICES INC,HSBC MORTGAGE SERVICES INC ET AL,1.0
HSBC MORTGAGE SERVICES INC,"HSBC MORTGAGE SERVICES, INC.",2.0
HSS INC.,HSS INC. ET AL,1.0
"HUMANA HEALTH PLAN, INC.","HUMANA HEALTH PLAN, INC. ET AL",1.0
HUNT AND HENRIQUES,HUNT AND HENRIQUES,1.0
"HUNTER SCOTT FINANCIAL, L.L.C.","HUNTER SCOTT FINANCIAL, L.L.C. ET AL",1.0
"I.C. SYSTEM, INC.","I.C. SYSTEM, INC. ET AL",1.0
IAC/INTERACTIVECORP.,IAC/INTERACTIVECORP.,1.0
IGNATIUS A. PIAZZA,IGNATIUS A. PIAZZA ET AL,1.0
INNOVATIVE,INNOVATIVE,1.0
"INSTANT CHECKMATE, INC.","INSTANT CHECKMATE, INC.",1.0
INTELIUS INC,INTELIUS INC ET AL,1.0
INTER-CON SECURITY SYSTEMS INC,INTER-CON SECURITY SYSTEMS INC,1.0
INTERNATIONAL BANCSHARES CORPORATION,INTERNATIONAL BANCSHARES CORPORATION,2.0
"INTERNATIONAL CREATIVE MANAGEMENT PARTNERS, LLC","INTERNATIONAL CREATIVE MANAGEMENT PARTNERS, LLC",1.0
"INTERNATIONAL FOLLIES, INC.","INTERNATIONAL FOLLIES, INC. ET AL",1.0
INTERNATIONAL SPEEDWAY CORPORATION,INTERNATIONAL SPEEDWAY CORPORATION,1.0
"INTUIT, INC.","INTUIT, INC. ET AL",1.0
"ISTA NORTH AMERICA, INC.","ISTA NORTH AMERICA, INC. ET AL",1.0
J & K ADMINISTRATIVE MANAGEMENT SERVICES INC,J & K ADMINISTRATIVE MANAGEMENT SERVICES INC ET AL,2.0
"J.C. PENNY CORPORATION, INC.","J.C. PENNY CORPORATION, INC. ET AL",2.0
"J.I. FINANCIAL, LLC","J.I. FINANCIAL, LLC ET AL",1.0
JPMORGAN CHASE & CO,J.P. MORGAN CHASE & CO. ET AL,1.0
"J.W. LEE, INC.","J.W. LEE, INC. ET AL",1.0
JAG INDUSTRIAL SERVICES INC,JAG INDUSTRIAL SERVICES INC ET AL,1.0
"JD BYRIDER DFW-TEXAS, INC.","JD BYRIDER DFW-TEXAS, INC.",1.0
"JEFFERSON CAPITAL SYSTEMS, LLC","JEFFERSON CAPITAL SYSTEMS, LLC",3.0
"JENNY CRAIG, INC.","JENNY CRAIG, INC. ET AL",1.0
JESUS A CONTRERAS ETAL,JESUS A CONTRERAS ETAL,1.0
"JF VEHICLE TRANSPORTERS, INC.","JF VEHICLE TRANSPORTERS, INC. ET AL",1.0
Jiffy Lube,Jiffy Lube,1.0
"JNJ EXPRESS, INC.","JNJ EXPRESS, INC.",1.0
"JOHN EAGLE SPORT CITY MOTORS, LLP","JOHN EAGLE SPORT CITY MOTORS, LLP",1.0
JP Morgan,JP Morgan,2.0
JPMORGAN CHASE & CO,JP MORGAN CHASE & CO. ET AL,2.0
JPMORGAN CHASE & CO,JPMORGAN CHASE & CO ET AL,2.0
JPMORGAN CHASE & CO,JPMORGAN CHASE & CO.,1.0
JPMORGAN CHASE & CO,JPMORGAN CHASE & CO. ET AL,1.0
JPMORGAN CHASE & CO,JPMORGAN CHASE AND CO ET AL,1.0
JPMORGAN CHASE & CO,"JPMORGAN CHASE BANK, N.A. ET AL",2.0
JS AUTOWORLD 1 LTD,JS AUTOWORLD 1 LTD ET AL,1.0
"KAVE ENTERPRISES, LLC","KAVE ENTERPRISES, LLC ET AL",1.0
KB HOME GREATER LOS ANGELES INC,KB HOME GREATER LOS ANGELES INC ET AL,1.0
"KELLOGG BROWN & ROOT, LLC","KELLOGG BROWN & ROOT, LLC ET AL",1.0
KENDALL CHEVROLET,KENDALL CHEVROLET,1.0
KEYES,KEYES,1.0
KFC CORPORATION,KFC CORPORATION ET AL,1.0
"KHG OF SAN ANTONIO, L.L.C. D/B/A TIFFANY’S CABARET","KHG OF SAN ANTONIO, L.L.C. D/B/A TIFFANY’S CABARET ET AL",1.0
"KLEEN 1, LLC","KLEEN 1, LLC",1.0
"KLEEN 1, LLC","KLEEN 1, LLC ET AL",1.0
KMART CORPORATION,KMART CORPORATION,1.0
KNOLOGY INC,KNOLOGY INC,1.0
KOHL’S CORP.,KOHL’S CORP.,1.0
"KRONOS WORLDWIDE, INC.","KRONOS WORLDWIDE, INC.",1.0
"L.L.C., INC.","L.L.C., INC. ET AL",1.0
"LABOR READY SOUTHEAST, INC.","LABOR READY SOUTHEAST, INC. ET AL",1.0
LACE ENTERTAINMENT INC.,LACE ENTERTAINMENT INC. ET AL,1.0
LASER COURIER INC.,LASER COURIER INC.,1.0
"LAUDERHILL AUTO INVESTORS I, LLC","LAUDERHILL AUTO INVESTORS I, LLC ET AL",1.0
"LAUDERHILL AUTO,","LAUDERHILL AUTO, ET AL",1.0
LAW OFFICE OF JOHN CONSADENE,LAW OFFICE OF JOHN CONSADENE ET AL,1.0
"LEASE FINANCE GROUP, LLC","LEASE FINANCE GROUP, LLC ET AL",1.0
"LEGAL HELPERS DEBT RESOLUTION, L.L.C.","LEGAL HELPERS DEBT RESOLUTION, L.L.C. ET AL",1.0
"LEGAL HELPERS DEBT RESOLUTION, L.L.C.","LEGAL HELPERS DEBT RESOLUTION, LLC ET AL",3.0
"LEGAL HELPERS DEBT RESOLUTION, L.L.C.","LEGAL HELPERS DEBT RESOLUTION, PLLC ET AL",1.0
"LENDINGTREE, LLC","LENDINGTREE, LLC",1.0
"LENSCRAFTERS, INC.","LENSCRAFTERS, INC. ET AL",1.0
LESLIES POOLMART INC,LESLIES POOLMART INC ET AL,1.0
LEXUS OF ENGLEWOOD,LEXUS OF ENGLEWOOD ET AL,1.0
"LEXXIOM, INC.","LEXXIOM, INC. ET AL",1.0
"LIBERTY ACQUISITIONS SERVICING, LLC","LIBERTY ACQUISITIONS SERVICING, LLC ET AL",1.0
LIBERTY LEAGUE INTERNATIONAL LLC,LIBERTY LEAGUE INTERNATIONAL LLC ET AL,1.0
LIBERTY LEAGUE INTERNATIONAL LLC,"LIBERTY LEAGUE INTERNATIONAL, LLC ET AL",1.0
"LIFE ALERT EMERGENCY RESPONSE, INC.","LIFE ALERT EMERGENCY RESPONSE, INC.",1.0
LIFE OF THE SOUTH INSURANCE COMPANY,LIFE OF THE SOUTH INSURANCE COMPANY,1.0
"LIMOUSINES OF SOUTH FLORIDA, INC.","LIMOUSINES OF SOUTH FLORIDA, INC.",1.0
"LIVE NATION, INC.,","LIVE NATION, INC., ET AL",1.0
LOPEZ,LOPEZ,1.0
"LORAM MAINTENANCE OF WAY, INC.","LORAM MAINTENANCE OF WAY, INC.",1.0
LOWE’S HIW INC,LOWES HIW INC ET AL,1.0
LOWE’S HIW INC,LOWE’S HIW INC ET AL,1.0
LOWE’S HIW INC,"LOWE’S HIW, INC.",2.0
LOWE’S HIW INC,"LOWE’S HIW, INC. ET AL",1.0
"LOWE’S HOME CENTERS, INC.","LOWE’S HOME CENTERS, INC.",2.0
"LP FORT MYERS, LLC","LP FORT MYERS, LLC",1.0
LUXOTTICA RETAIL NORTH AMERICA INC,LUXOTTICA RETAIL NORTH AMERICA INC ET AL,1.0
LUXOTTICA RETAIL NORTH AMERICA INC,LUXOTTICA RETAIL NORTH AMERICA INC. ET AL,1.0
LUXOTTICA RETAIL NORTH AMERICA INC,"LUXOTTICA RETAIL NORTH AMERICA, INC.",1.0
M & I MARSHALL & ILSLEY BANK,M & I MARSHALL & ILSLEY BANK,1.0
M & T BANK CORPORATION,M & T BANK CORPORATION,2.0
M-QUBE,M-QUBE ET AL,1.0
"M-QUBE, INC.","M-QUBE, INC.",1.0
"M-QUBE, INC.","M-QUBE, INC. ET AL",1.0
M/S AMSTERDAM,M/S AMSTERDAM ET AL,1.0
"MA LABORATORIES, INC","MA LABORATORIES, INC ET AL",1.0
MACMILLAN,MACMILLAN ET AL,1.0
"MACON COUNTY GREYHOUND PARK, INC.","MACON COUNTY GREYHOUND PARK, INC.",1.0
"MACON COUNTY GREYHOUND PARK, INC.","MACON COUNTY GREYHOUND PARK, INC. ET AL",1.0
MACY’S INC,MACYS INC ET AL,1.0
"MACY’S DEPARTMENT STORES, INC.","MACY’S DEPARTMENT STORES, INC.",1.0
MACY’S INC,MACY’S INC ET AL,1.0
"MACY’S RETAIL HOLDINGS, INC.","MACY’S RETAIL HOLDINGS, INC.",1.0
MACY’S INC,"MACY’S, INC. ET AL",2.0
MAHASAN INC.,MAHASAN INC. ET AL,1.0
"MAID BRIGADE, INC.","MAID BRIGADE, INC. ET AL",1.0
MAIN STREET ACQUISITION CORP.,MAIN STREET ACQUISITION CORP.,1.0
"MARGOLIS, PRITZKER, EPSTEIN & BLATT, P.A.","MARGOLIS, PRITZKER, EPSTEIN & BLATT, P.A. ET AL",1.0
